Date,Open,High,Low,Close,Adj Close,Volume
2016-09-23,6.250000,6.370000,6.120000,6.200000,5.923104,11883
2016-09-26,6.200000,6.200000,6.190000,6.190000,5.913552,1443
2016-09-27,6.190000,6.200000,6.150000,6.200000,5.923104,22169
2016-09-28,6.200000,6.210000,6.100000,6.160000,5.884892,14533
2016-09-29,6.150000,6.150000,6.100000,6.140000,5.865784,63669
2016-09-30,6.140000,6.250000,6.100000,6.200000,5.923104,26479
2016-10-03,6.200000,6.260000,6.150000,6.250000,5.970872,4716
2016-10-04,6.250000,6.250000,6.250000,6.250000,5.970872,853
2016-10-05,6.300000,6.730000,6.300000,6.700000,6.400774,269060
2016-10-06,6.730000,6.880000,6.730000,6.820000,6.515416,32207
2016-10-07,6.830000,6.830000,6.600000,6.620000,6.324347,47454
2016-10-10,6.700000,6.750000,6.680000,6.700000,6.400774,3077
2016-10-11,6.700000,6.750000,6.500000,6.620000,6.324347,2747
2016-10-12,6.650000,6.650000,6.600000,6.600000,6.305241,4632
2016-10-13,6.610000,6.620000,6.410000,6.450000,6.161941,3249
2016-10-14,6.460000,6.470000,6.410000,6.450000,6.161941,26153
2016-10-17,6.450000,6.450000,6.350000,6.390000,6.104620,3417
2016-10-18,6.390000,6.650000,6.350000,6.550000,6.257474,39562
2016-10-19,6.510000,6.680000,6.510000,6.630000,6.333901,7306
2016-10-20,6.670000,6.730000,6.500000,6.720000,6.419882,12161
2016-10-21,7.190000,7.290000,7.040000,7.040000,6.725589,95441
2016-10-24,7.080000,7.130000,7.040000,7.050000,6.735144,9156
2016-10-25,7.100000,7.100000,6.900000,6.910000,6.601396,2216
2016-10-26,6.900000,6.900000,6.620000,6.650000,6.353008,12764
2016-10-27,6.640000,6.980000,6.640000,6.710000,6.410328,2397
2016-10-28,6.710000,6.810000,6.670000,6.670000,6.372114,5835
2016-10-31,7.000000,7.070000,6.980000,7.030000,6.716037,23469
2016-11-01,7.030000,7.030000,6.950000,6.950000,6.639609,21477
2016-11-02,6.970000,6.980000,6.560000,6.560000,6.267027,24631
2016-11-03,6.710000,6.990000,6.700000,6.800000,6.496308,4268
2016-11-04,6.800000,6.800000,6.650000,6.700000,6.400774,4931
2016-11-07,6.750000,6.950000,6.750000,6.850000,6.544075,6989
2016-11-08,6.900000,7.030000,6.900000,7.000000,6.687376,10884
2016-11-09,6.790000,6.880000,6.310000,6.750000,6.448542,19872
2016-11-10,6.900000,6.990000,6.800000,6.800000,6.496308,62531
2016-11-11,6.860000,6.960000,6.850000,6.960000,6.649163,2581
2016-11-14,7.000000,7.000000,6.900000,6.900000,6.591843,9576
2016-11-15,7.000000,7.050000,6.900000,6.940000,6.630056,6763
2016-11-16,6.930000,7.000000,6.850000,6.850000,6.544075,9693
2016-11-17,6.860000,6.900000,6.860000,6.900000,6.591843,1804
2016-11-18,6.990000,7.000000,6.870000,6.940000,6.630056,3886
2016-11-21,7.000000,7.000000,6.880000,6.890000,6.582289,6788
2016-11-22,6.940000,7.000000,6.940000,6.960000,6.649163,2083
2016-11-23,6.960000,6.970000,6.830000,6.880000,6.572736,6317
2016-11-24,7.000000,7.030000,6.800000,6.900000,6.591843,63202
2016-11-25,7.000000,7.000000,6.900000,6.910000,6.601396,11156
2016-11-28,6.990000,7.000000,6.900000,6.900000,6.591843,7522
2016-11-29,6.980000,6.980000,6.900000,6.900000,6.591843,17098
2016-11-30,6.950000,6.980000,6.900000,6.900000,6.591843,14070
2016-12-01,6.920000,6.940000,6.850000,6.890000,6.582289,9453
2016-12-02,6.890000,6.900000,6.850000,6.850000,6.544075,11149
2016-12-05,6.900000,6.900000,6.850000,6.900000,6.591843,13433
2016-12-07,6.930000,6.930000,6.850000,6.850000,6.544075,18250
2016-12-08,6.860000,6.900000,6.830000,6.840000,6.534523,28922
